SiteID,ProjectCode,TesterID,DATE,TIME,LOT NAME,LOGIN MODE,STOP TIME,RESTART TIME,DOWN TIME,KEYWORD,STATUS,ERROR CODE,ERROR TYPE,ERROR MESSAGE,MESSAGE
NSTD,KK13,L02-ER-16_05J7,23/02/2020,00:01:56,LOTNAME,OPERATOR,,,,INPUT,0,,,,INPUT:0-PASS:0-FAIL:0-RATE:0.000
NSTD,KK13,L02-ER-16_05J7,23/02/2020,00:01:56,LOTNAME,OPERATOR,,,,PASS,0,,,,INPUT:0-PASS:0-FAIL:0-RATE:0.000
NSTD,KK13,L02-ER-16_05J7,23/02/2020,00:01:56,LOTNAME,OPERATOR,,,,NOT DEFINE,0,,,,INPUT:0-PASS:0-FAIL:0-RATE:0.000
NSTD,KK13,L02-ER-16_05J7,23/02/2020,00:01:56,LOTNAME,OPERATOR,,,,RATE,0.000%,,,,INPUT:0-PASS:0-FAIL:0-RATE:0.000
NSTD,KK13,L02-ER-16_05J7,23/02/2020,00:01:56,LOTNAME,OPERATOR,,,,PRODUCTION TIME LOT,41:26:09,,,,PRODUCTION TIME LOT:41:26:09
NSTD,KK13,L02-ER-16_05J7,23/02/2020,00:01:56,LOTNAME,OPERATOR,,,,DOWN TIME LOT,79:46:35,,,,DOWN TIME LOT:79:46:35
NSTD,KK13,L02-ER-16_05J7,23/02/2020,00:01:56,LOTNAME,OPERATOR,,,,IDLE TIME LOT,55:38:38,,,,IDLE TIME LOT:55:38:38
NSTD,KK13,L02-ER-16_05J7,23/02/2020,00:01:56,LOTNAME,OPERATOR,,,,PRODUCTION TIME,00:00:00,,,,PRODUCTION TIME:00:00:00
NSTD,KK13,L02-ER-16_05J7,23/02/2020,00:01:56,LOTNAME,OPERATOR,,,,DOWN TIME,00:00:05,,,,DOWN TIME:00:00:05
NSTD,KK13,L02-ER-16_05J7,23/02/2020,00:01:56,LOTNAME,OPERATOR,,,,IDLE TIME,00:00:00,,,,IDLE TIME:00:00:00
NSTD,KK13,L02-ER-16_05J7,23/02/2020,01:01:52,LOTNAME,OPERATOR,,,,INPUT,0,,,,INPUT:0-PASS:0-FAIL:0-RATE:0.000
